ID_Pagamento;ID_Venda;Forma_Pagamento;Parcelas;Valor_Pago
1;1;Boleto;1;806.68
2;2;Dinheiro;1;484.4
3;3;Boleto;1;928.56
4;4;Boleto;1;180.13
5;5;Dinheiro;1;1111.97
6;6;Boleto;1;949.03
7;7;Pix;1;202.88
8;8;Débito;1;127.85
9;9;Crédito;1;550.18
10;10;Débito;1;128.52
11;11;Crédito;4;710.91
12;12;Pix;1;85.67
13;13;Crédito;3;74.77
14;14;Boleto;1;51.84
15;15;Pix;1;799.52
16;16;Pix;1;436.21
17;17;Débito;1;160.53
18;18;Dinheiro;1;233.92
19;19;Dinheiro;1;949.03
20;20;Dinheiro;1;605.93
21;21;Dinheiro;1;650.12
22;22;Crédito;3;117.73
23;23;Boleto;1;72.07
24;24;Débito;1;559.8
25;25;Crédito;1;27.91
26;26;Boleto;1;2138.58
27;27;Pix;1;895.99
28;28;Boleto;1;1246.17
29;29;Crédito;3;267.12
30;30;Crédito;1;222.22
31;31;Crédito;1;361.49
32;32;Boleto;1;712.86
33;33;Dinheiro;1;758.17
34;34;Débito;1;886.88
35;35;Crédito;2;567.25
36;36;Pix;1;533.84
37;37;Débito;1;647.05
38;38;Boleto;1;445.74
39;39;Crédito;1;69.86
40;40;Pix;1;484.23
41;41;Crédito;3;99.14
42;42;Crédito;2;1328.34
43;43;Pix;1;1585.86
44;44;Débito;1;201.89
45;45;Dinheiro;1;481.16
46;46;Dinheiro;1;497.56
47;47;Boleto;1;312.55
48;48;Dinheiro;1;605.2
49;49;Débito;1;424.6
50;50;Crédito;1;446.56
51;51;Crédito;1;724.33
52;52;Dinheiro;1;1573.2
53;53;Boleto;1;537.77
54;54;Crédito;1;416.6
55;55;Boleto;1;661.96
56;56;Dinheiro;1;1690.1
57;57;Crédito;1;596.59
58;58;Crédito;2;213.1
59;59;Boleto;1;233.8
60;60;Dinheiro;1;1252.99
61;61;Boleto;1;672.96
62;62;Pix;1;244.27
63;63;Dinheiro;1;541.87
64;64;Pix;1;223.07
65;65;Débito;1;1056.92
66;66;Pix;1;52.32
67;67;Dinheiro;1;392.72
68;68;Crédito;3;728.97
69;69;Dinheiro;1;1427.46
70;70;Boleto;1;561.54
71;71;Crédito;1;67.48
72;72;Débito;1;949.03
73;73;Dinheiro;1;97.96
74;74;Boleto;1;846.55
75;75;Débito;1;52.32
76;76;Débito;1;1732.84
77;77;Crédito;1;477.27
78;78;Pix;1;347.5
79;79;Pix;1;318.14
80;80;Débito;1;394.46
81;81;Débito;1;702.03
82;82;Crédito;2;490.73
83;83;Dinheiro;1;160.53
84;84;Crédito;3;51.84
85;85;Crédito;1;742.12
86;86;Débito;1;439.8
87;87;Débito;1;335.57
88;88;Crédito;1;790.89
89;89;Débito;1;350.18
90;90;Boleto;1;1334.16
91;91;Dinheiro;1;1352.8
92;92;Pix;1;144.1
93;93;Pix;1;598.54
94;94;Crédito;2;244.27
95;95;Pix;1;533.84
96;96;Débito;1;2559.4
97;97;Débito;1;1006.71
98;98;Pix;1;706.47
99;99;Crédito;1;464.07
100;100;Crédito;1;1216.5
101;101;Pix;1;1119.1
102;102;Débito;1;265.67
103;103;Crédito;3;460.02
104;104;Dinheiro;1;970.64
105;105;Dinheiro;1;135.94
106;106;Dinheiro;1;1950.36
107;107;Crédito;2;437.64
108;108;Crédito;2;1566.34
109;109;Pix;1;669.78
110;110;Crédito;3;129.82
111;111;Pix;1;446.95
112;112;Pix;1;2031.65
113;113;Boleto;1;671.14
114;114;Boleto;1;215.56
115;115;Débito;1;679.81
116;116;Crédito;2;371.79
117;117;Crédito;1;57.78
118;118;Dinheiro;1;149.69
119;119;Dinheiro;1;783.23
120;120;Débito;1;579.14
121;121;Débito;1;240.92
122;122;Boleto;1;768.37
123;123;Débito;1;324.23
124;124;Débito;1;785.51
125;125;Débito;1;388.67
126;126;Débito;1;83.73
127;127;Pix;1;591.53
128;128;Crédito;1;210.53
129;129;Crédito;1;1431.61
130;130;Pix;1;743.99
131;131;Débito;1;507.1
132;132;Boleto;1;4126.92
133;133;Débito;1;576.12
134;134;Débito;1;398.05
135;135;Débito;1;446.95
136;136;Crédito;1;390.83
137;137;Pix;1;754.26
138;138;Dinheiro;1;727.93
139;139;Débito;1;2583.71
140;140;Crédito;2;1791.98
141;141;Crédito;4;179.54
142;142;Boleto;1;211.68
143;143;Crédito;6;151.04
144;144;Crédito;2;1133.52
145;145;Crédito;1;250.45
146;146;Débito;1;529.71
147;147;Pix;1;128.4
148;148;Boleto;1;2429.91
149;149;Pix;1;484.23
150;150;Débito;1;1131.39
151;151;Débito;1;51.36
152;152;Boleto;1;1313.16
153;153;Crédito;1;457.49
154;154;Débito;1;51.84
155;155;Débito;1;970.68
156;156;Débito;1;339.07
157;157;Pix;1;631.83
158;158;Débito;1;1193.18
159;159;Boleto;1;970.68
160;160;Dinheiro;1;663.8
161;161;Crédito;3;288.21
162;162;Débito;1;141.54
163;163;Débito;1;37.41
164;164;Débito;1;688.47
165;165;Boleto;1;536.49
166;166;Pix;1;351.84
167;167;Pix;1;141.54
168;168;Dinheiro;1;547.32
169;169;Pix;1;163.51
170;170;Pix;1;3111.59
171;171;Débito;1;393.95
172;172;Débito;1;187.14
173;173;Pix;1;549.39
174;174;Débito;1;1488.02
175;175;Boleto;1;579.14
176;176;Dinheiro;1;790.89
177;177;Pix;1;1430.24
178;178;Pix;1;380.62
179;179;Boleto;1;630.61
180;180;Dinheiro;1;1691.7
181;181;Dinheiro;1;467.84
182;182;Crédito;2;533.84
183;183;Débito;1;115.67
184;184;Pix;1;1177.14
185;185;Boleto;1;702.03
186;186;Boleto;1;531.34
187;187;Dinheiro;1;2864.59
188;188;Dinheiro;1;1342.28
189;189;Débito;1;82.79
190;190;Pix;1;485.32
191;191;Débito;1;2334.91
192;192;Crédito;2;191.78
193;193;Boleto;1;70.37
194;194;Pix;1;2864.19
195;195;Débito;1;1131.39
196;196;Dinheiro;1;347.91
197;197;Dinheiro;1;739.41
198;198;Dinheiro;1;190.77
199;199;Débito;1;279.77
200;200;Pix;1;543.87
201;201;Boleto;1;540.39
202;202;Boleto;1;634.53
203;203;Pix;1;483.61
204;204;Débito;1;575.86
205;205;Boleto;1;533.84
206;206;Dinheiro;1;3583.96
207;207;Débito;1;530.39
208;208;Pix;1;700.37
209;209;Dinheiro;1;1048.8
210;210;Crédito;3;160.53
211;211;Pix;1;463.31
212;212;Débito;1;429.19
213;213;Dinheiro;1;561.62
214;214;Dinheiro;1;129.82
215;215;Pix;1;305.16
216;216;Pix;1;785.51
217;217;Boleto;1;2001.14
218;218;Crédito;3;201.89
219;219;Pix;1;691.46
220;220;Dinheiro;1;694.39
221;221;Dinheiro;1;464.07
222;222;Débito;1;93.62
223;223;Pix;1;536.65
224;224;Débito;1;3431.02
225;225;Boleto;1;532.77
226;226;Crédito;3;874.25
227;227;Boleto;1;591.1
228;228;Dinheiro;1;2691.1
229;229;Dinheiro;1;296.92
230;230;Pix;1;697.4
231;231;Crédito;1;630.02
232;232;Pix;1;527.26
233;233;Dinheiro;1;312.55
234;234;Pix;1;762.93
235;235;Débito;1;928.56
236;236;Débito;1;579.14
237;237;Dinheiro;1;846.55
238;238;Boleto;1;253.6
239;239;Pix;1;559.14
240;240;Débito;1;347.91
241;241;Pix;1;175.92
242;242;Dinheiro;1;846.55
243;243;Pix;1;567.25
244;244;Dinheiro;1;901.58
245;245;Dinheiro;1;411.53
246;246;Pix;1;416.6
247;247;Débito;1;437.64
248;248;Pix;1;456.02
249;249;Débito;1;2287.35
250;250;Boleto;1;612.44
251;251;Boleto;1;68.27
252;252;Dinheiro;1;279.77
253;253;Débito;1;259.64
254;254;Boleto;1;249.04
255;255;Boleto;1;792.93
256;256;Pix;1;753.28
257;257;Débito;1;1300.24
