ID_Venda;Data_Venda;ID_Cliente;ID_Produto;Quantidade;Preco_Unitario;Valor_Total;Desconto;Canal;Vendedor
1;2022-02-08;435;65;1;949.03;806.68;0.15;Loja Física;Rafaela
2;2025-03-31;208;99;1;538.22;484.4;0.1;Loja Física;Vitor
3;2025-02-03;134;70;1;1031.73;928.56;0.1;Online;Carlos
4;2022-11-01;188;51;1;180.13;180.13;0.0;WhatsApp;Carlos
5;2023-08-19;69;60;2;617.76;1111.97;0.1;WhatsApp;Vitor
6;2024-03-23;187;65;1;949.03;949.03;0.0;WhatsApp;Ana Paula
7;2025-06-11;351;22;1;253.6;202.88;0.2;WhatsApp;Ana Paula
8;2024-07-02;82;23;2;71.03;127.85;0.1;WhatsApp;Carlos
9;2022-10-27;377;94;1;579.14;550.18;0.05;Online;Vitor
10;2023-03-25;390;63;1;128.52;128.52;0.0;Loja Física;Marcos
11;2024-01-27;120;6;2;418.18;710.91;0.15;Loja Física;Rafaela
12;2024-01-10;199;61;3;30.06;85.67;0.05;Loja Física;Vitor
13;2025-08-21;166;14;1;87.96;74.77;0.15;WhatsApp;Carlos
14;2023-07-15;428;95;1;51.84;51.84;0.0;WhatsApp;Rafaela
15;2025-03-13;90;49;1;940.61;799.52;0.15;Online;Marcos
16;2025-04-18;335;115;1;545.26;436.21;0.2;Loja Física;Rafaela
17;2023-05-31;193;117;1;160.53;160.53;0.0;WhatsApp;Juliana
18;2023-12-24;419;112;1;233.92;233.92;0.0;Online;Juliana
19;2025-05-22;4;65;1;949.03;949.03;0.0;Online;Ana Paula
20;2023-04-17;40;66;1;712.86;605.93;0.15;Online;Ana Paula
21;2022-11-04;96;21;1;650.12;650.12;0.0;WhatsApp;Carlos
22;2022-08-31;339;30;1;123.93;117.73;0.05;Online;Carlos
23;2022-08-21;247;87;1;75.86;72.07;0.05;Online;Ana Paula
24;2025-04-24;83;83;1;699.75;559.8;0.2;Online;Vitor
25;2023-05-15;23;17;1;31.01;27.91;0.1;WhatsApp;Ana Paula
26;2022-10-03;323;66;3;712.86;2138.58;0.0;WhatsApp;Ana Paula
27;2022-04-25;86;34;1;895.99;895.99;0.0;WhatsApp;Juliana
28;2025-05-12;497;73;2;733.04;1246.17;0.15;Loja Física;Carlos
29;2025-09-17;421;37;2;133.56;267.12;0.0;Loja Física;Juliana
30;2025-05-27;242;112;1;233.92;222.22;0.05;Loja Física;Ana Paula
31;2024-04-21;308;19;1;451.86;361.49;0.2;WhatsApp;Ana Paula
32;2025-06-30;338;66;1;712.86;712.86;0.0;Loja Física;Carlos
33;2023-12-03;473;59;1;842.41;758.17;0.1;WhatsApp;Vitor
34;2023-04-16;194;50;2;443.44;886.88;0.0;Loja Física;Vitor
35;2023-02-19;268;111;1;630.28;567.25;0.1;WhatsApp;Juliana
36;2022-11-03;311;13;1;533.84;533.84;0.0;Online;Rafaela
37;2025-05-13;20;113;1;808.81;647.05;0.2;WhatsApp;Rafaela
38;2022-08-29;48;62;1;524.4;445.74;0.15;Loja Física;Rafaela
39;2025-01-09;424;1;2;43.66;69.86;0.2;WhatsApp;Carlos
40;2024-06-02;268;54;1;484.23;484.23;0.0;Loja Física;Carlos
41;2024-12-21;220;30;1;123.93;99.14;0.2;Online;Juliana
42;2023-12-19;302;103;5;312.55;1328.34;0.15;WhatsApp;Rafaela
43;2022-07-20;218;18;2;792.93;1585.86;0.0;Online;Ana Paula
44;2022-06-21;146;77;1;224.32;201.89;0.1;Online;Marcos
45;2023-01-23;3;91;1;566.07;481.16;0.15;Loja Física;Rafaela
46;2024-12-06;61;67;1;497.56;497.56;0.0;Online;Carlos
47;2023-02-25;353;103;1;312.55;312.55;0.0;Online;Marcos
48;2022-08-07;80;55;1;712.0;605.2;0.15;WhatsApp;Marcos
49;2023-06-20;438;69;1;446.95;424.6;0.05;WhatsApp;Marcos
50;2025-06-07;142;88;1;470.06;446.56;0.05;Loja Física;Juliana
51;2025-02-04;402;72;1;762.45;724.33;0.05;Loja Física;Marcos
52;2025-02-19;285;62;3;524.4;1573.2;0.0;Online;Rafaela
53;2023-12-07;397;91;1;566.07;537.77;0.05;WhatsApp;Ana Paula
54;2025-09-12;61;96;1;416.6;416.6;0.0;Online;Carlos
55;2022-11-28;52;28;1;735.51;661.96;0.1;Online;Marcos
56;2025-02-01;315;90;5;397.67;1690.1;0.15;WhatsApp;Vitor
57;2022-11-26;200;82;1;596.59;596.59;0.0;Loja Física;Ana Paula
58;2024-08-23;475;77;1;224.32;213.1;0.05;Loja Física;Vitor
